GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PRESLAR,G20PREOHAM,G20PREOFUE,G20USSDBOO,G20USSRMEH,G20USSGHOF,G20USSOFER,G20USSOBUR
34039095050,34,039,095050,493.39,124.26,2.02,2.22,0.2,0,0,0.66,490.71,112.13,3.64,4.8,1.11
34039100101,34,039,100101,380.35,174.54,5.81,1.54,0.22,0,0.11,0.88,350.51,207.35,2.3,1.54,0.66
34039100102,34,039,100102,433.58,199,6.63,1.75,0.25,0,0.13,1,399.58,236.37,2.63,1.75,0.75
34039100103,34,039,100103,844.97,401.26,12.67,3.4,0.5,0.02,0.3,1.85,781.14,470.23,5.31,3.66,1.53
34039100104,34,039,100104,644.76,295.88,9.86,2.6,0.37,0,0.19,1.49,594.18,351.48,3.91,2.6,1.12
34039100105,34,039,100105,744.48,365.99,11.34,2.97,0.48,0,0.2,1.65,686.68,428.78,4.56,3.01,1.27
34039100106,34,039,100106,305.41,140.15,4.67,1.23,0.18,0,0.09,0.7,281.45,166.49,1.85,1.23,0.53
34039100107,34,039,100107,233.77,107.28,3.57,0.94,0.13,0,0.07,0.54,215.43,127.44,1.42,0.94,0.4
34039100201,34,039,100201,1087.22,585.7,14.21,3.55,1.42,0.36,0.36,3.2,997.36,669.52,8.52,6.39,2.49
34039100202,34,039,100202,358.49,193.12,4.68,1.17,0.47,0.12,0.12,1.05,328.86,220.76,2.81,2.11,0.82
34039100203,34,039,100203,206.78,111.64,2.71,0.68,0.27,0.07,0.07,0.61,189.77,127.47,1.63,1.22,0.48
34039100204,34,039,100204,542.56,292.28,7.09,1.77,0.71,0.18,0.18,1.6,497.71,334.11,4.25,3.19,1.24
34039100205,34,039,100205,504.68,272.55,6.6,1.65,0.66,0.16,0.16,1.48,462.99,311.42,3.96,2.97,1.15
34039100206,34,039,100206,364.92,196.59,4.77,1.19,0.48,0.12,0.12,1.07,334.76,224.72,2.86,2.15,0.83
34039100301,34,039,100301,124.13,60.09,1.65,0.4,0,0,0,0.36,117.53,64.24,0.77,0.72,0.48
34039100302,34,039,100302,164.92,79.84,2.19,0.54,0,0,0,0.48,156.14,85.35,1.02,0.96,0.64
34039100303,34,039,100303,421.96,217.87,5.52,1.59,0,0,0.02,1.21,400.88,229.81,2.83,2.7,1.64
34039100304,34,039,100304,427.37,206.89,5.69,1.39,0,0,0,1.25,404.62,221.17,2.63,2.5,1.66
34039100305,34,039,100305,813.01,393.58,10.82,2.64,0,0,0,2.37,769.75,420.75,5.01,4.75,3.17
34039100306,34,039,100306,357.22,173.06,4.75,1.16,0,0,0,1.04,338.23,184.98,2.2,2.09,1.39
34039100307,34,039,100307,763.11,369.42,10.15,2.48,0,0,0,2.23,722.5,394.93,4.7,4.46,2.97
34039100401,34,039,100401,636.15,321.1,6.27,3.03,0.43,0,0,1.95,596.33,351.39,6.06,2.16,2.6
34039100402,34,039,100402,636.63,321.35,6.28,3.03,0.43,0,0,1.95,596.79,351.66,6.06,2.17,2.6
34039100403,34,039,100403,378.5,191.05,3.73,1.8,0.26,0,0,1.16,354.81,209.07,3.6,1.29,1.54
34039100404,34,039,100404,504.87,255.26,5,2.4,0.34,0,0.02,1.52,473.56,279.05,4.8,1.78,2.05
34039100405,34,039,100405,797.12,402.35,7.86,3.8,0.54,0,0,2.44,747.23,440.31,7.59,2.71,3.25
34039105001,34,039,105001,194.5,220,3.5,1.5,0.5,0,0,0,189.5,200.5,5.5,3,2
34039105002,34,039,105002,149.67,169.29,2.69,1.15,0.38,0,0,0,145.82,154.28,4.23,2.31,1.54
34041005001,34,041,005001,24.85,32.68,0.42,0.2,0.05,0.07,0.02,0,23.58,32.85,0.59,0.24,0.12
34041005002,34,041,005002,36.59,48.11,0.62,0.3,0.07,0.1,0.02,0,34.72,48.36,0.87,0.35,0.17
34041005003,34,041,005003,102.18,134.36,1.74,0.83,0.21,0.28,0.07,0,96.97,135.06,2.43,0.97,0.49
34041005004,34,041,005004,1362.13,1769.94,23.73,11.22,2.79,3.62,1.14,0.15,1294.72,1775.43,32.98,13.61,6.59
34041010001,34,041,010001,243.24,344.78,3.78,1.89,0,0.94,2.36,0,243.24,310.3,12.28,7.08,2.83
34041010002,34,041,010002,269.91,382.59,4.19,2.1,0,1.05,2.62,0,269.91,344.33,13.63,7.86,3.14
34041015001,34,041,015001,279.03,442.71,11.97,4.99,0.5,0,0.5,1,279.01,413.3,16.97,9.48,2
34041015002,34,041,015002,120.03,190.25,5.15,2.15,0.21,0,0.21,0.43,120.03,177.58,7.3,4.08,0.86
34041015003,34,041,015003,158.15,251,6.78,2.83,0.28,0,0.28,0.56,158.13,234.34,9.62,5.37,1.13
34041020001,34,041,020001,326.42,546.6,8.43,2.65,0.48,0.48,0.48,0.24,312.44,534.8,15.66,3.37,3.61
34041020002,34,041,020002,201.12,336.59,5.14,1.56,0.26,0.26,0.26,0.13,191.93,329,9.38,2.08,2.09
34041020003,34,041,020003,368.16,616.49,9.51,2.99,0.54,0.54,0.54,0.27,352.4,603.18,17.66,3.8,4.08
34041020004,34,041,020004,340.35,570.81,8.84,2.78,0.5,0.5,0.5,0.25,325.83,558.47,16.33,3.56,3.76
34041020005,34,041,020005,139.25,233.17,3.6,1.13,0.21,0.21,0.21,0.1,133.28,228.14,6.68,1.44,1.54
34041025001,34,041,025001,129.57,239.9,5.38,1.24,0.41,0,1.66,0,121.29,239.69,6,2.69,1.45
34041025002,34,041,025002,230.32,421.1,9.22,2.26,0.67,0.02,2.76,0.02,215.89,420.18,10.5,4.77,2.54
34041025003,34,041,025003,249.1,462.8,10.31,2.41,0.79,0.04,3.16,0,233.5,462,11.51,5.21,2.78
